E_elc_Ry	ks1/2J1/2
0.71921	-2.402414579
0.72001	-2.402545035
0.72081	-2.402649422
0.72161	-2.402756153
0.72241	-2.402886697
0.72321	-2.402991154
0.72401	-2.403121753
0.72481	-2.403226255
0.72561	-2.40335691
0.72641	-2.403463818
0.72721	-2.403596999
0.72801	-2.403720536
0.72881	-2.403827526
0.72961	-2.403958325
0.73041	-2.404062986
0.73121	-2.404196239
0.73201	-2.404339462
0.73281	-2.404422222
0.73361	-2.40453179
0.73441	-2.404662749
0.73521	-2.404767539
0.73601	-2.404898555
0.73681	-2.405005831
0.73761	-2.405110691
0.73841	-2.405277842
0.73921	-2.40534424
0.74001	-2.405475393
0.74081	-2.405606577
0.74161	-2.405711546
0.74241	-2.405819019
0.74321	-2.405924034
0.74401	-2.406055331
0.74481	-2.406160391
0.74561	-2.406291744
0.74641	-2.406396848
0.74721	-2.406528258
0.74801	-2.406633407
0.74881	-2.406764873
0.74961	-2.406870067
0.75041	-2.407001589
0.75121	-2.407106828
0.75201	-2.407238406
0.75281	-2.407343691
0.75361	-2.407475325
0.75441	-2.407580655
0.75521	-2.407712345
0.75601	-2.40781772
0.75681	-2.407923115
0.75761	-2.408054887
0.75841	-2.408160327
0.75921	-2.408292155
0.76001	-2.40839764
0.76081	-2.408529524
0.76161	-2.408635054
0.76241	-2.408766995
0.76321	-2.40887257
0.76401	-2.408954414
0.76481	-2.409086437
0.76561	-2.409192078
0.76641	-2.409324157
0.76721	-2.409429843
0.76801	-2.409561979
0.76881	-2.409667711
0.76961	-2.409773462
0.77041	-2.40990568
0.77121	-2.410011476
0.77201	-2.410143751
0.77281	-2.410249593
0.77361	-2.410381923
0.77441	-2.41048781
0.77521	-2.410593718
0.77601	-2.41072613
0.77681	-2.410832083
0.77761	-2.410964552
0.77841	-2.41107055
0.77921	-2.411176567
0.78001	-2.411309118
0.78081	-2.411415182
0.78161	-2.411547789
0.78241	-2.411653898
0.78321	-2.411760026
0.78401	-2.411892716
0.78481	-2.41199889
0.78561	-2.412131636
0.78641	-2.412237856
0.78721	-2.412344095
0.78801	-2.412476923
