E_elc_Ry	kp3/2J1/2 6s[1/2]
0.667201	2.360195829
0.668001	2.359987106
0.668801	2.359791362
0.669601	2.359582445
0.670401	2.359386609
0.671201	2.359177681
0.672001	2.358981748
0.672801	2.358785768
0.673601	2.358589742
0.674401	2.358380608
0.675201	2.358184485
0.676001	2.358001433
0.676801	2.357805217
0.677601	2.357595875
0.678401	2.357399561
0.679201	2.357203201
0.680001	2.356993704
0.680801	2.356797247
0.681601	2.356613854
0.682401	2.3564042
0.683201	2.356207599
0.684001	2.356010951
0.684801	2.355814247
0.685601	2.355617502
0.686401	2.355407584
0.687201	2.355223846
0.688001	2.355026956
0.688801	2.354816882
0.689601	2.354632996
0.690401	2.354422815
0.691201	2.35423883
0.692001	2.354028542
0.692801	2.353844457
0.693601	2.353647227
0.694401	2.353449878
0.695201	2.35325255
0.696001	2.353055092
0.696801	2.352857666
0.697601	2.3526601
0.698401	2.352475667
0.699201	2.352264902
0.700001	2.352067171
0.700801	2.351882585
0.701601	2.351671657
0.702401	2.351486972
0.703201	2.351289023
0.704001	2.351104237
0.704801	2.350893094
0.705601	2.350708208
0.706401	2.350510042
0.707201	2.350311818
0.708001	2.350126779
0.708801	2.349915365
0.709601	2.349730226
0.710401	2.349531785
0.711201	2.349346545
0.712001	2.349147994
0.712801	2.348949386
0.713601	2.348763993
0.714401	2.3485522
0.715201	2.348366707
0.716001	2.34816788
0.716801	2.347982286
0.717601	2.34778335
0.718401	2.347584357
0.719201	2.34739861
0.720001	2.347199507
0.720801	2.347013659
0.721601	2.346814447
0.722401	2.346628498
0.723201	2.346429176
0.724001	2.346243125
0.724801	2.346043694
0.725601	2.345857542
0.726401	2.345658001
0.727201	2.345471749
0.728001	2.345272098
0.728801	2.345085744
0.729601	2.344885983
0.730401	2.344699529
0.731201	2.344499658
0.732001	2.344313102
0.732801	2.344126498
0.733601	2.343926465
0.734401	2.343739759
0.735201	2.343539616
0.736001	2.34335281
0.736801	2.343165955
0.737601	2.342965649
0.738401	2.342778692
0.739201	2.342591688
0.740001	2.342391219
0.740801	2.342204113
0.741601	2.342016958
0.742401	2.341816327
0.743201	2.341629071
0.744001	2.341441766
0.744801	2.341240972
0.745601	2.341053566
0.746401	2.340879155
0.747201	2.340691651
0.748001	2.34049064
0.748801	2.340303035
0.749601	2.340115381
0.750401	2.339927678
0.751201	2.339726452
0.752001	2.339538647
0.752801	2.339350795
0.753601	2.339162893
0.754401	2.338961451
0.755201	2.338773448
0.756001	2.338585396
0.756801	2.338397296
0.757601	2.338222179
0.758401	2.338020467
0.759201	2.337832215
0.760001	2.337643915
0.760801	2.337455566
0.761601	2.337267169
0.762401	2.337078722
0.763201	2.336876688
0.764001	2.336701166
0.764801	2.336512568
0.765601	2.336323922
0.766401	2.336135227
0.767201	2.335946483
0.768001	2.335757147
0.768801	2.335568301
0.769601	2.335379406
0.770401	2.335190462
0.771201	2.335014487
0.772001	2.334825445
0.772801	2.334622763
0.773601	2.334446635
0.774401	2.334257441
0.775201	2.334068198
0.776001	2.33389192
0.776801	2.333688967
0.777601	2.333499573
0.778401	2.333323141
0.779201	2.333133648
0.780001	2.332957116
0.780801	2.332753891
0.781601	2.332577255
0.782401	2.33238756
0.783201	2.332210824
0.784001	2.332021031
0.784801	2.331830539
0.785601	2.331640643
0.786401	2.331463702
0.787201	2.331273708
0.788001	2.331082994
0.788801	2.330892897
0.789601	2.330715751
0.790401	2.330538554
0.791201	2.330334619
0.792001	2.330157318
0.792801	2.329979966
0.793601	2.329789567
0.794401	2.329598409
0.795201	2.329420902
0.796001	2.32923035
0.796801	2.329039023
0.797601	2.328861361
0.798401	2.328683649
0.799201	2.328492894
0.800001	2.328301344
0.800801	2.328123476
